Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
EicHar9Ofisidby,JP,8,107,220.221.88.83,i220-221-88-83.s42.a023.ap.plala.or.jp,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.4.1.6 on Linux,0,0,2019-10-04,OCN NTT Communications Corporation- JP,4713,17,None
eierschwammerl,AT,7258,246,37.252.185.87,37.252.185.87,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2017-06-13,IPAX-AS- AT,44133,19000,None
EinTeilDerAntwort,DE,371,328,173.212.221.10,173.212.221.10,8443,None,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2015-09-07,CONTABO- DE,51167,790,[2a02:c207:3003:1795::1]:8443
ekumen,FR,2228,496,95.142.161.63,ekumen.nos-oignons.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2014-04-08,GANDI-AS-2 Domain name registrar - http://www.gandi.net- FR,203476,3870,None
el1teindustries,HU,2383,907,91.219.238.95,ten4.el1te.industries,443,None,0,1,1,0,0,1,1,1,0,Tor 0.3.5.8 on Linux,0,0,2019-01-22,SERVERASTRA-AS- HU,56322,3400,None
eL5gMmiPbfmp,SK,1679,232,147.175.187.143,jahu31.ynet.sk,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2014-10-03,SANET Slovak Academic Network- SK,2607,4960,None
elc4,FR,1647,3699,176.31.35.149,vpn.xutrox.com,443,None,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2014-09-12,OVH- FR,16276,5400,[2001:41d0:2:b026:24d9:6a97:78db:2bcb]:443
EldritchReaper,NL,635,5306,128.199.55.207,eldritch.for-no-reason.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2014-11-11,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,1700,[2a03:b0c0:2:d0::158:3001]:9001
electricdreams2,IT,54,68,212.237.13.219,tor2.20dage.dk,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2017-11-18,ARUBA-ASN- IT,31034,723,None
electricdreams3,IT,109,68,80.211.24.208,host208-24-211-80.serverdedicati.aruba.it,443,None,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2018-10-11,ARUBA-ASN- IT,31034,583,None
ElectricWizzard,DE,6811,801,188.68.38.54,dreggnmail.org,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on FreeBSD,0,0,2019-02-07,NETCUP-AS netcup GmbH- DE,197540,17000,[2a03:4000:13:228::f00]:9001
electroncash,CH,896,100,193.135.10.219,electroncash.de,59999,None,0,0,1,0,0,1,1,1,0,Tor 0.4.0.5 on Linux,0,0,2019-07-16,ACCELERATED-IT- DE,31400,2110,None
elegantlanguage,US,54,151,68.183.167.138,68.183.167.138,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.13 on Linux,0,0,2019-10-08,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,1300,None
elektrobier1,NL,2971,678,95.211.138.51,www.electrobsd.org,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.4.1.3-alpha on ElectroBSD,0,0,2015-08-14,LEASEWEB-NL-AMS-01 Netherlands- NL,60781,6650,None
elektrobier2,DE,7721,1759,46.165.254.40,tor.privoxy.org,8000,None,0,0,1,0,0,1,1,1,0,Tor 0.3.5.3-alpha on ElectroBSD,0,0,2015-08-15,LEASEWEB-DE-FRA-10- DE,28753,21000,None
elektrobier3,DE,6087,14,46.165.221.207,46.165.221.207,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.3.5.3-alpha on ElectroBSD,0,0,2015-09-26,LEASEWEB-DE-FRA-10- DE,28753,21000,None
Elenore,N/A,1151,32,194.55.15.116,mail.leenux.de,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.3.5.8 on Linux,0,0,2018-12-17,NETCUP-AS netcup GmbH- DE,197540,3100,[2a03:4000:31:39f::3]:9001
Elenore2,FR,2301,266,37.187.105.207,box.leenux.de,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.3.5.8 on Linux,0,0,2019-09-21,OVH- FR,16276,4880,[2001:41d0:a:39cf::1]:9001
EleventhThesis,RU,1224,500,5.188.108.69,ggus.example.com,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on FreeBSD,0,0,2019-06-07,GCORE- AT,199524,3600,None
Elias,CA,6903,1261,144.217.80.80,80.ip-144-217-80.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2017-12-28,OVH- FR,16276,15300,None
Eliise01,EE,2376,8,185.195.237.24,185.195.237.24,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-04-05,ESTNOC-AS- EE,206804,3200,None
Eliise02,EE,3300,531,185.195.237.118,185.195.237.118,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-04-05,ESTNOC-AS- EE,206804,4400,None
Eliise03,EE,1956,79,185.195.237.25,185.195.237.25,443,80,0,1,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-04-05,ESTNOC-AS- EE,206804,5280,None
Eliise04,EE,2992,96,185.195.237.117,185.195.237.117,443,80,0,1,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-04-18,ESTNOC-AS- EE,206804,4610,None
Ella,CA,976,1320,162.221.204.241,162.221.204.241,443,9030,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-08-03,ESECUREDATA - eSecureData- CA,11831,5020,None
